2019-11-20 11:19:41,990 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [learn.flow.dao.datasource.DataSourceTest], using SpringBootContextLoader
2019-11-20 11:19:48,237 [main] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-11-20 11:19:49,079 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-20 11:19:50,054 [main] INFO  [learn.flow.dao.datasource.DataSourceTest] StartupInfoLogger.java:59 - Started DataSourceTest in 7.444 seconds (JVM running for 10.249)
2019-11-20 11:19:50,261 [Thread-2] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:208 - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-20 11:19:50,262 [Thread-2] INFO  [o.s.orm.jpa.LocalContainerEntityManagerFactoryBean] AbstractEntityManagerFactoryBean.java:598 - Closing JPA EntityManagerFactory for persistence unit 'default'
2019-11-20 11:19:50,264 [Thread-2] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:2003 - {dataSource-1} closing ...
2019-11-20 11:19:50,283 [Thread-2] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:2075 - {dataSource-1} closed
2019-11-20 11:20:40,128 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [learn.flow.dao.mapepr.SimpleMapperTest], using SpringBootContextLoader
2019-11-20 11:20:40,134 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [learn.flow.dao.mapepr.SimpleMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-11-20 11:20:40,135 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [learn.flow.dao.mapepr.SimpleMapperTest]: SimpleMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
